Date,ConnType,Lat,Lon,Download,Upload,Latency,ServerName,InternalIp,ExternalIp
"2014-07-01 12:30","Hspap","62.26270","25.79266",10.02,2.99,66,"Hameenlinna","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-07-01 12:29","Hspap","62.26270","25.79266",10.21,2.90,69,"Hameenlinna","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-30 15:27","Hspap","62.26177","25.79107",10.83,2.08,60,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 13:10","Hspap","62.26139","25.78568",11.25,3.09,61,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 13:09","Hspap","62.26079","25.77974",-0.00,-0.00,-1,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 13:08","Hsdpa","62.26079","25.77974",4.80,1.17,64,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 13:07","Hspap","62.26079","25.77974",7.15,3.13,58,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 13:06","Hsdpa","62.26079","25.77974",6.35,3.40,61,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 13:06","Hsdpa","62.26079","25.77974",6.26,3.55,63,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 13:05","Hspap","62.26079","25.77974",6.36,3.61,63,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 13:04","Hspap","62.25685","25.77933",2.13,2.67,60,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-30 09:08","Hspap","62.26167","25.79067",10.85,3.45,67,"Tampere","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-30 06:47","Hspap","62.22097","25.70893",8.53,3.36,54,"Tampere","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-29 14:11","Hspap","62.22100","25.70901",9.48,1.30,67,"Tampere","10.233.81.236","37.219.18.235"
"2014-06-28 14:29","Hspap","62.22100","25.70901",7.17,2.14,55,"Tampere","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-27 16:18","Hspap","62.23806","25.74938",6.07,1.88,138,"Jyvaskyla","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-27 11:50","Hspap","62.26167","25.79067",8.32,0.93,66,"Tampere","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-26 12:17","Hspap","62.26177","25.79107",9.28,2.62,61,"Jyvaskyla","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-26 07:33","Hspap","62.22103","25.70909",11.10,3.78,55,"Tampere","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-25 18:23","Hspap","62.22100","25.70769",6.32,2.52,68,"Tampere","10.233.81.236, 192.168.43.1","37.219.18.235"
"2014-06-24 07:31","Hspap","62.22062","25.70911",8.51,3.54,60,"Helsinki","10.225.87.220, 192.168.43.1","37.136.139.24"
"2014-06-23 12:05","Hspap","62.26175","25.79125",8.54,3.32,61,"Jyvaskyla","10.249.52.143","37.219.236.61"
"2014-06-23 12:01","Edge","62.26395","25.79280",7.77,2.78,79,"Jyvaskyla","10.249.52.143","37.219.236.61"
"2014-06-20 15:45","Hspap","62.22093","25.70896",0.98,0.45,52,"Tampere","10.241.247.9","37.136.110.173"
